SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
NSE:LOTUSDEV-EQ,Sri Lotus Developers and Realty Limited,EQ,06-AUG-2025,1,1,INE0V9Q01010,1
NSE:LOTUSEYE-EQ,Lotus Eye Hospital and Institute Limited,EQ,11-JUL-2008,10,1,INE947I01017,10
NSE:LOVABLE-EQ,Lovable Lingerie Limited,EQ,24-MAR-2011,10,1,INE597L01014,10
NSE:LOYALTEX-EQ,Loyal Textile Mills Limited,BE,11-AUG-2022,10,1,INE970D01010,10
NSE:LPDC-EQ,Landmark Property Development Company Limited,EQ,12-AUG-2008,1,1,INE197J01017,1
NSE:LT-EQ,Larsen & Toubro Limited,EQ,23-JUN-2004,2,1,INE018A01030,2
NSE:LTF-EQ,L&T Finance Limited,EQ,12-AUG-2011,10,1,INE498L01015,10
NSE:LTFOODS-EQ,LT Foods Limited,EQ,18-DEC-2006,1,1,INE818H01020,1
NSE:LTIM-EQ,LTIMindtree Limited,EQ,21-JUL-2016,1,1,INE214T01019,1
NSE:LTTS-EQ,L&T Technology Services Limited,EQ,23-SEP-2016,2,1,INE010V01017,2
NSE:LUMAXIND-EQ,Lumax Industries Limited,EQ,06-SEP-1995,10,1,INE162B01018,10
NSE:LUMAXTECH-EQ,Lumax Auto Technologies Limited,EQ,16-JAN-2007,2,1,INE872H01027,2
NSE:LUPIN-EQ,Lupin Limited,EQ,10-SEP-2001,2,1,INE326A01037,2
NSE:LUXIND-EQ,Lux Industries Limited,EQ,30-NOV-2015,2,1,INE150G01020,2
NSE:LXCHEM-EQ,Laxmi Organic Industries Limited,EQ,25-MAR-2021,2,1,INE576O01020,2
NSE:LYKALABS-EQ,Lyka Labs Limited,EQ,08-FEB-1995,10,1,INE933A01014,10
NSE:LYPSAGEMS-EQ,Lypsa Gems & Jewellery Limited,BE,05-NOV-2013,10,1,INE142K01011,10
NSE:M&M-EQ,Mahindra & Mahindra Limited,EQ,03-JAN-1996,5,1,INE101A01026,5
NSE:M&MFIN-EQ,Mahindra & Mahindra Financial Services Limited,EQ,17-MAR-2006,2,1,INE774D01024,2
NSE:MAANALU-EQ,Maan Aluminium Limited,BE,22-OCT-2007,5,1,INE215I01027,5
NSE:MACPOWER-EQ,Macpower CNC Machines Limited,EQ,19-AUG-2020,10,1,INE155Z01011,10
NSE:MADHAV-EQ,Madhav Marbles and Granites Limited,EQ,20-DEC-2007,10,1,INE925C01016,10
NSE:MADHUCON-EQ,Madhucon Projects Limited,BE,05-OCT-2006,1,1,INE378D01032,1
NSE:MADRASFERT-EQ,Madras Fertilizers Limited,EQ,25-JUL-1997,10,1,INE414A01015,10
NSE:MAGADSUGAR-EQ,Magadh Sugar & Energy Limited,EQ,28-JUL-2017,10,1,INE347W01011,10
NSE:MAGNUM-EQ,Magnum Ventures Limited,EQ,20-SEP-2007,10,1,INE387I01016,10
NSE:MAHABANK-EQ,Bank of Maharashtra,EQ,12-APR-2004,10,1,INE457A01014,10
NSE:MAHAPEXLTD-EQ,Maha Rashtra Apex Corporation Limited,EQ,21-JAN-1998,10,1,INE843B01013,10
NSE:MAHASTEEL-EQ,Mahamaya Steel Industries Limited,BE,01-JUL-2016,10,1,INE451L01014,10
